Solar,Pressure,Temp,Humidity,npk_val,ph,soil_moist,lastFeeding,lastWatering
38.75555555555555,66.66666666666666,24.670000000000016,75.28089887640449,42.0,7.1,80.34935393258426,21,-218
36.46666666666666,66.66666666666666,22.02000000000004,93.25842696629213,29.999999999999996,6.5,69.77589887640447,17,-217
35.71111111111111,65.4320987654321,22.170000000000016,86.51685393258427,42.0,7.1,50.637275280898876,18,-216
32.577777777777776,66.66666666666666,23.180000000000007,80.89887640449437,42.0,7.1,75.10387640449437,19,-215
23.57777777777778,66.66666666666666,21.689999999999998,80.89887640449437,42.0,7.1,69.8583988764045,20,-214
2.3555555555555556,66.66666666666666,21.30000000000001,80.89887640449437,42.0,7.1,69.95589887640449,21,-213
0.0,None,None,None,None,None,None,22,-212
0.0,None,None,None,None,None,None,23,-211
0.0,None,None,None,None,None,None,24,-210
0.0,None,None,None,None,None,None,25,-209
0.0,None,None,None,None,None,None,26,-208
0.0,None,None,None,None,None,None,27,-207
0.0,None,None,None,None,None,None,28,-206
0.0,None,None,None,None,None,None,29,-205
0.0,None,None,None,None,None,None,30,-204
0.0,None,None,None,None,None,None,31,-203
0.0,None,None,None,None,None,None,32,-202
0.0,None,None,None,None,None,None,33,-201
4.533333333333333,72.8395061728395,16.64500000000004,98.87640449438202,11.999999999999996,5.6,87.97358146067415,29,-200
30.866666666666664,72.8395061728395,16.33000000000004,97.75280898876404,29.999999999999996,6.5,88.05233146067415,25,-199
57.666666666666664,74.07407407407408,17.610000000000014,92.13483146067416,29.999999999999996,6.5,82.11435393258427,21,-198
